id;origem;destino;km;veiculo;ajudante;andares;elevador;cenario;base;vlr_ajud;vlr_elev;vlr_esc;total_pix;total_cartao;comissao_pegue;valor_prestador;rs_por_km
76;Osasco;Santo Andre;35;caminhao_bau;nao;0;nao;base;715;0;0;0;715;751;86;629;20.43
77;Osasco;Sao Bernardo;40;carro_comum;nao;0;nao;base;287;0;0;0;287;301;34;253;7.17
78;Osasco;Sao Bernardo;40;utilitario;nao;0;nao;base;338;0;0;0;338;355;41;297;8.45
79;Osasco;Sao Bernardo;40;hr;nao;0;nao;base;575;0;0;0;575;604;69;506;14.38
80;Osasco;Sao Bernardo;40;caminhao_bau;nao;0;nao;base;744;0;0;0;744;781;89;655;18.60
81;Osasco;Guarulhos;42;carro_comum;nao;0;nao;base;291;0;0;0;291;305;35;256;6.93
82;Osasco;Guarulhos;42;utilitario;nao;0;nao;base;342;0;0;0;342;359;41;301;8.14
83;Osasco;Guarulhos;42;hr;nao;0;nao;base;581;0;0;0;581;610;70;511;13.83
84;Osasco;Guarulhos;42;caminhao_bau;nao;0;nao;base;752;0;0;0;752;789;90;662;17.90
85;Osasco;Itaquera;45;carro_comum;nao;0;nao;base;297;0;0;0;297;312;36;261;6.60
86;Osasco;Itaquera;45;utilitario;nao;0;nao;base;349;0;0;0;349;366;42;307;7.76
87;Osasco;Itaquera;45;hr;nao;0;nao;base;593;0;0;0;593;623;71;522;13.18
88;Osasco;Itaquera;45;caminhao_bau;nao;0;nao;base;768;0;0;0;768;806;92;676;17.07
89;Osasco;Maua;48;carro_comum;nao;0;nao;base;303;0;0;0;303;318;36;267;6.31
90;Osasco;Maua;48;utilitario;nao;0;nao;base;356;0;0;0;356;374;43;313;7.42
91;Osasco;Maua;48;hr;nao;0;nao;base;605;0;0;0;605;635;73;532;12.60
92;Osasco;Maua;48;caminhao_bau;nao;0;nao;base;783;0;0;0;783;822;94;689;16.31
93;Osasco;Cotia;22;carro_comum;nao;0;nao;base;246;0;0;0;246;258;30;216;11.18
94;Osasco;Cotia;22;utilitario;nao;0;nao;base;289;0;0;0;289;303;35;254;13.14
95;Osasco;Cotia;22;hr;nao;0;nao;base;491;0;0;0;491;515;59;432;22.32
96;Osasco;Cotia;22;caminhao_bau;nao;0;nao;base;636;0;0;0;636;668;76;560;28.91
97;Osasco;Suzano;55;carro_comum;nao;0;nao;base;315;0;0;0;315;331;38;277;5.73
98;Osasco;Suzano;55;utilitario;nao;0;nao;base;370;0;0;0;370;388;44;326;6.73
99;Osasco;Suzano;55;hr;nao;0;nao;base;629;0;0;0;629;660;75;554;11.44
100;Osasco;Suzano;55;caminhao_bau;nao;0;nao;base;814;0;0;0;814;855;98;716;14.80
101;Osasco;Itaquaquecetuba;52;carro_comum;nao;0;nao;base;309;0;0;0;309;324;37;272;5.94
102;Osasco;Itaquaquecetuba;52;utilitario;nao;0;nao;base;364;0;0;0;364;382;44;320;7.00
103;Osasco;Itaquaquecetuba;52;hr;nao;0;nao;base;619;0;0;0;619;650;74;545;11.90
104;Osasco;Itaquaquecetuba;52;caminhao_bau;nao;0;nao;base;801;0;0;0;801;841;96;705;15.40
105;Osasco;Jundiai;60;carro_comum;nao;0;nao;base;323;0;0;0;323;339;39;284;5.38
106;Osasco;Jundiai;60;utilitario;nao;0;nao;base;380;0;0;0;380;399;46;334;6.33
107;Osasco;Jundiai;60;hr;nao;0;nao;base;646;0;0;0;646;678;78;568;10.77
108;Osasco;Jundiai;60;caminhao_bau;nao;0;nao;base;836;0;0;0;836;878;100;736;13.93
109;Osasco;Mogi das Cruzes;65;carro_comum;nao;0;nao;base;332;0;0;0;332;349;40;292;5.11
110;Osasco;Mogi das Cruzes;65;utilitario;nao;0;nao;base;390;0;0;0;390;409;47;343;6.00
111;Osasco;Mogi das Cruzes;65;hr;nao;0;nao;base;663;0;0;0;663;696;80;583;10.20
112;Osasco;Mogi das Cruzes;65;caminhao_bau;nao;0;nao;base;858;0;0;0;858;901;103;755;13.20
113;Osasco;Campinas;95;carro_comum;nao;0;nao;base;374;0;0;0;374;393;45;329;3.94
114;Osasco;Campinas;95;utilitario;nao;0;nao;base;440;0;0;0;440;462;53;387;4.63
115;Osasco;Campinas;95;hr;nao;0;nao;base;748;0;0;0;748;785;90;658;7.87
116;Osasco;Campinas;95;caminhao_bau;nao;0;nao;base;968;0;0;0;968;1016;116;852;10.19
117;Osasco;Santos;85;carro_comum;nao;0;nao;base;361;0;0;0;361;379;43;318;4.25
